sub_id,user_id,start_date,end_date,price
713804,6337,2020-08-05,2020-09-05,0
712825,6338,2020-08-05,2020-09-05,0
711575,6339,2020-08-05,2020-09-05,0
711090,6400,2020-08-05,2020-09-05,0
731130,11861,2020-10-19,2020-11-02,0
714703,8322,2020-08-06,2020-08-21,0
711106,6403,2020-08-05,2020-09-05,0
713312,6284,2020-08-05,2020-09-05,0
713686,6165,2020-08-05,2020-09-05,0
711435,6346,2020-08-05,2020-09-05,0
711677,6167,2020-08-05,2020-09-05,0
793043,35748,2021-04-24,2021-06-24,0
702927,709,2020-08-05,2020-09-05,0
713589,6410,2020-08-05,2020-09-05,0
713352,6411,2020-08-05,2020-09-05,0
711515,6352,2020-08-05,2020-09-05,0
710836,6413,2020-08-05,2020-09-05,0
713727,6414,2020-08-05,2020-09-05,0
713039,6355,2020-08-05,2020-09-05,0
702828,476,2020-08-05,2020-09-05,0
711024,6477,2020-08-05,2020-09-05,0
793580,35846,2021-05-07,2021-06-06,0
711298,6359,2020-08-05,2020-09-05,0
711390,6420,2020-08-05,2020-09-05,0
711617,6361,2020-08-05,2020-09-05,0
714678,7562,2020-08-05,2020-08-20,0
712918,6423,2020-08-05,2020-09-05,0
713724,7324,2020-08-05,2020-09-05,0
714903,6365,2020-08-05,2020-09-05,0
711630,6186,2020-08-05,2020-09-05,0
712852,6247,2020-08-05,2020-09-05,0
711132,6368,2020-08-05,2020-09-05,0
711608,6369,2020-08-05,2020-09-05,0
711252,6310,2020-08-05,2020-09-05,0
733623,14711,2020-10-20,2020-11-03,0
734522,13632,2020-10-20,2020-11-03,0
712966,6433,2020-08-05,2020-09-05,0
713875,6374,2020-08-05,2020-09-05,0
713299,7575,2020-08-05,2020-09-05,0
754593,32236,2020-12-10,2021-06-09,0
715892,6557,2020-08-05,2020-09-05,0
703855,1338,2020-08-05,2020-09-05,0
703378,619,2020-08-05,2020-09-05,0
708921,6380,2020-08-05,2020-09-05,0
737203,17841,2020-10-22,2020-11-05,0
713368,6922,2020-08-05,2020-09-05,0
711687,6263,2020-08-05,2020-09-05,0
714166,6444,2020-08-05,2020-09-05,0
714728,7885,2020-08-06,2020-08-21,0
713774,6386,2020-08-05,2020-09-05,0
712777,6387,2020-08-05,2020-09-05,0
703094,568,2020-08-05,2020-09-05,0
711214,6449,2020-08-05,2020-09-05,0
711357,6510,2020-08-05,2020-09-05,0
711665,6331,2020-08-05,2020-09-05,0
713817,6392,2020-08-05,2020-09-05,0
703093,1113,2020-08-05,2020-09-05,0
711029,6454,2020-08-05,2020-09-05,0
713051,6215,2020-08-05,2020-09-05,0
710986,4176,2020-08-05,2020-09-05,0
713845,6397,2020-08-05,2020-09-05,0
712934,6398,2020-08-05,2020-09-05,0
711577,6399,2020-08-05,2020-09-05,0
711191,6460,2020-08-05,2020-09-05,0
731155,11921,2020-10-19,2020-11-02,0
713546,7182,2020-08-05,2020-08-20,0
711177,6463,2020-08-05,2020-09-05,0
713344,6344,2020-08-05,2020-09-05,0
713690,6225,2020-08-05,2020-09-05,0
711593,6406,2020-08-05,2020-09-05,0
712804,6227,2020-08-05,2020-09-05,0
793231,35810,2021-04-29,2021-06-29,0
702951,769,2020-08-05,2020-09-05,0
713733,6470,2020-08-05,2020-09-05,0
713353,6471,2020-08-05,2020-09-05,0
711580,6412,2020-08-05,2020-09-05,0
710856,6473,2020-08-05,2020-09-05,0
713737,6474,2020-08-05,2020-09-05,0
713049,6415,2020-08-05,2020-09-05,0
702931,536,2020-08-05,2020-09-05,0
